method,stress_level,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
robust_mpc_fallback,0.890000,10,0.614201,0.004262,0.100731,0.002376,0.149306,0.009992,0.216319,0.005468,0.107292,0.005016,0.175098,0.002061,0.206817,0.005964,0.259788,0.005716,0.669444,0.014447,0.953472,0.007871
robust_mpc_fallback,1.000000,10,0.602979,0.006999,0.094659,0.001623,0.134375,0.013230,0.213542,0.006274,0.111806,0.008536,0.182774,0.001333,0.205836,0.009044,0.251128,0.009227,0.707986,0.010806,0.928819,0.009953
worldbench_diagnostic_probe,0.000000,10,0.594540,0.001290,0.073127,0.000900,0.547222,0.016769,0.377083,0.001505,0.228125,0.002878,0.249630,0.000869,0.284187,0.002222,0.258918,0.002637,0.964236,0.005920,1.000000,0.000000
worldbench_diagnostic_probe,0.110000,10,0.584581,0.001760,0.073332,0.000980,0.527083,0.010582,0.376736,0.001134,0.234028,0.004328,0.254206,0.000641,0.287089,0.002593,0.245306,0.003715,0.973264,0.004310,1.000000,0.000000
worldbench_diagnostic_probe,0.220000,10,0.575347,0.001274,0.074255,0.000787,0.503819,0.016746,0.377778,0.003485,0.228472,0.007372,0.257017,0.001316,0.289896,0.001451,0.232073,0.002147,0.971181,0.008491,1.000000,0.000000
worldbench_diagnostic_probe,0.330000,10,0.565364,0.001472,0.075110,0.000498,0.491667,0.018876,0.382639,0.003485,0.232986,0.003856,0.260825,0.000778,0.293734,0.001759,0.217546,0.002060,0.974306,0.004991,1.000000,0.000000
worldbench_diagnostic_probe,0.440000,10,0.557112,0.001651,0.076005,0.001229,0.470139,0.019546,0.384028,0.004671,0.234375,0.003403,0.263840,0.001088,0.296864,0.003353,0.205214,0.003509,0.973611,0.007259,1.000000,0.000000
worldbench_diagnostic_probe,0.560000,10,0.546216,0.001059,0.076530,0.000504,0.442708,0.014710,0.385069,0.004474,0.235417,0.002833,0.267841,0.000587,0.300671,0.001697,0.190361,0.001554,0.977431,0.003693,1.000000,0.000000
worldbench_diagnostic_probe,0.670000,10,0.537905,0.001720,0.077741,0.000807,0.438542,0.012049,0.391319,0.005920,0.234375,0.003830,0.270384,0.000761,0.303750,0.002623,0.177606,0.003057,0.973611,0.004445,1.000000,0.000000
worldbench_diagnostic_probe,0.780000,10,0.530346,0.002318,0.078174,0.001617,0.436111,0.020295,0.397569,0.003403,0.238542,0.004764,0.273913,0.001530,0.305961,0.003828,0.166625,0.004745,0.976736,0.008611,1.000000,0.000000
worldbench_diagnostic_probe,0.890000,10,0.521019,0.001657,0.078709,0.000771,0.410417,0.009773,0.402431,0.005868,0.237153,0.004975,0.277443,0.000974,0.308172,0.002705,0.153650,0.003086,0.979514,0.005779,1.000000,0.000000
worldbench_diagnostic_probe,1.000000,10,0.513757,0.002643,0.078636,0.000879,0.398611,0.018508,0.414236,0.006500,0.239583,0.003796,0.281139,0.000712,0.308637,0.003809,0.143960,0.004240,0.984028,0.004083,1.000000,0.000000
