seed,method,risk_budget,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
1,conformal_risk_filter,0.000000,48,0.102785,0.017660,0.012384,0.004837,0.159722,0.038855,0.003472,0.006806,0.204861,0.103044,0.232183,0.006389,0.739035,0.025493,-0.287127,0.021741,0.920139,0.033678,0.090278,0.035013
1,conformal_risk_filter,0.020000,48,0.100827,0.017450,0.016873,0.006691,0.149306,0.047886,0.000000,0.000000,0.229167,0.114517,0.231259,0.006590,0.750223,0.019901,-0.298315,0.019512,0.913194,0.035055,0.090278,0.035013
1,conformal_risk_filter,0.050000,48,0.136129,0.022507,0.027878,0.008047,0.163194,0.044027,0.013889,0.016372,0.194444,0.098392,0.219616,0.007804,0.714175,0.029427,-0.262267,0.025673,0.854167,0.041976,0.166667,0.044572
1,conformal_risk_filter,0.080000,48,0.153547,0.022953,0.032901,0.008135,0.156250,0.039396,0.024306,0.021726,0.197917,0.099976,0.216680,0.007852,0.698878,0.027721,-0.246970,0.026483,0.843750,0.042847,0.197917,0.044205
1,conformal_risk_filter,0.100000,48,0.179606,0.023688,0.038070,0.007898,0.173611,0.045577,0.041667,0.029979,0.194444,0.100767,0.213369,0.007767,0.671179,0.030217,-0.219271,0.029074,0.836806,0.044027,0.246528,0.044561
1,conformal_risk_filter,0.150000,48,0.215766,0.033606,0.040757,0.008329,0.184028,0.041539,0.069444,0.047483,0.184028,0.093413,0.210748,0.007120,0.626110,0.037324,-0.174202,0.036356,0.840278,0.040054,0.305556,0.058628
1,failure_aware_rl_recovery,0.000000,48,0.493083,0.067174,0.040891,0.007450,0.152778,0.048469,0.121528,0.089535,0.229167,0.114517,0.256547,0.005252,0.325072,0.069449,0.141803,0.073178,0.947917,0.029431,0.628472,0.081516
1,failure_aware_rl_recovery,0.020000,48,0.542179,0.067655,0.048897,0.008005,0.239583,0.053190,0.125000,0.092016,0.208333,0.105879,0.248762,0.007194,0.270109,0.071883,0.197833,0.074809,0.916667,0.041265,0.715278,0.081352
1,failure_aware_rl_recovery,0.050000,48,0.583072,0.055721,0.059626,0.008180,0.208333,0.045099,0.121528,0.092139,0.190972,0.096281,0.237926,0.008681,0.226252,0.058383,0.241805,0.061990,0.861111,0.049912,0.802083,0.058079
1,failure_aware_rl_recovery,0.080000,48,0.617474,0.053057,0.061995,0.006684,0.173611,0.044528,0.125000,0.089936,0.173611,0.089651,0.234152,0.008903,0.181765,0.057085,0.286623,0.060070,0.854167,0.052038,0.861111,0.055306
1,failure_aware_rl_recovery,0.100000,48,0.609065,0.052489,0.074450,0.007989,0.232639,0.047390,0.125000,0.089408,0.149306,0.078561,0.222093,0.010392,0.206131,0.056447,0.261547,0.060620,0.774306,0.061121,0.871528,0.047886
1,failure_aware_rl_recovery,0.150000,48,0.648142,0.041272,0.072149,0.008368,0.204861,0.047886,0.125000,0.094551,0.142361,0.075959,0.223413,0.011327,0.150694,0.045366,0.317748,0.048038,0.802083,0.066436,0.930556,0.032013
1,recovery_first_policy,0.000000,48,0.542050,0.040546,0.044005,0.005500,0.142361,0.046635,0.104167,0.077583,0.204861,0.103958,0.236796,0.006777,0.261854,0.041186,0.213787,0.044610,0.920139,0.037657,0.701389,0.051429
1,recovery_first_policy,0.020000,48,0.547799,0.044638,0.047983,0.006570,0.173611,0.043452,0.083333,0.064517,0.194444,0.097426,0.231568,0.006867,0.256433,0.050989,0.219027,0.051855,0.888889,0.039309,0.722222,0.057815
1,recovery_first_policy,0.050000,48,0.602416,0.033262,0.060876,0.008459,0.173611,0.044528,0.100694,0.077041,0.184028,0.095912,0.222905,0.008746,0.204850,0.036594,0.272734,0.037014,0.843750,0.050918,0.819444,0.043316
1,recovery_first_policy,0.080000,48,0.616085,0.032110,0.061899,0.007151,0.152778,0.043316,0.090278,0.070781,0.166667,0.089144,0.220226,0.008862,0.186734,0.041213,0.291374,0.042247,0.829861,0.051915,0.843750,0.045001
